,Date,User,tweet
0,2023-02-28 05:48:12+00:00,italozip,"Java é MUITO apaixonante bicho, quando você rompe a barreira inicial de ""okay, sei que é complicado de aprender mas vamos passo a passo"" e começa a respeitar esse aprendizado e ir absorvendo aos poucos, você simplesmente se apaixona por ela."
1,2023-02-28 05:47:53+00:00,newsandjava,'Elvis' star Austin Butler rushed to ER after 'body just started shutting down' https://t.co/ZhWVXzwYZR
